Product_ID,Date,Base_Cost,Price,Competitor_Price,Inventory,Units_Demanded,Competitor_Delta,Margin,Price_Cost_Ratio,Inventory_Pressure,Day_Week,Month,Week_Year,rolling_demand_7,rolling_demand_30,lag_1,lag_7,lag_30
P1,2024-01-01,15.48,28.13,29.41,46,106,1.2800000000000011,12.649999999999999,1.8171834625322996,0,0,1,1,106.0,106.0,0.0,0.0,0.0
P1,2024-01-02,15.48,28.94,28.4,156,78,-0.5400000000000027,13.46,1.8695090439276487,0,1,1,1,92.0,92.0,106.0,0.0,0.0
P1,2024-01-03,15.48,27.54,27.36,178,112,-0.17999999999999972,12.059999999999999,1.7790697674418603,0,2,1,1,98.66666666666667,98.66666666666667,78.0,0.0,0.0
P1,2024-01-04,15.48,28.0,30.52,143,114,2.5199999999999996,12.52,1.8087855297157622,0,3,1,1,102.5,102.5,112.0,0.0,0.0
P1,2024-01-05,15.48,27.57,28.48,98,122,0.9100000000000001,12.09,1.7810077519379846,0,4,1,1,106.4,106.4,114.0,0.0,0.0
P1,2024-01-06,15.48,29.13,28.51,53,79,-0.6199999999999974,13.649999999999999,1.881782945736434,0,5,1,1,101.83333333333333,101.83333333333333,122.0,0.0,0.0
P1,2024-01-07,15.48,26.44,29.63,113,142,3.1899999999999977,10.96,1.7080103359173127,0,6,1,1,107.57142857142857,107.57142857142857,79.0,0.0,0.0
P1,2024-01-08,15.48,27.42,27.29,185,115,-0.13000000000000256,11.940000000000001,1.7713178294573644,0,0,1,2,108.85714285714286,108.5,142.0,106.0,0.0
P1,2024-01-09,15.48,28.21,27.51,29,97,-0.6999999999999993,12.73,1.8223514211886305,1,1,1,2,111.57142857142857,107.22222222222223,115.0,78.0,0.0
P1,2024-01-10,15.48,27.48,30.54,169,116,3.0599999999999987,12.0,1.7751937984496124,0,2,1,2,112.14285714285714,108.1,97.0,112.0,0.0
P1,2024-01-11,15.48,27.1,27.43,100,123,0.3299999999999983,11.620000000000001,1.7506459948320414,0,3,1,2,113.42857142857143,109.45454545454545,116.0,114.0,0.0
P1,2024-01-12,15.48,26.99,30.97,57,132,3.9800000000000004,11.509999999999998,1.7435400516795865,0,4,1,2,114.85714285714286,111.33333333333333,123.0,122.0,0.0
P1,2024-01-13,15.48,27.67,30.86,50,115,3.1899999999999977,12.190000000000001,1.787467700258398,0,5,1,2,120.0,111.61538461538461,132.0,79.0,0.0
P1,2024-01-14,15.48,30.45,27.22,87,46,-3.2300000000000004,14.969999999999999,1.9670542635658914,0,6,1,2,106.28571428571429,106.92857142857143,115.0,142.0,0.0
P1,2024-01-15,15.48,27.26,26.28,189,125,-0.9800000000000004,11.780000000000001,1.7609819121447028,0,0,1,3,107.71428571428571,108.13333333333334,46.0,115.0,0.0
P1,2024-01-16,15.48,31.03,29.93,187,32,-1.1000000000000014,15.55,2.0045219638242893,0,1,1,3,98.42857142857143,103.375,125.0,97.0,0.0
P1,2024-01-17,15.48,25.22,27.33,121,166,2.1099999999999994,9.739999999999998,1.6291989664082687,0,2,1,3,105.57142857142857,107.05882352941177,32.0,116.0,0.0
